year,date,lat,lon,news,cassualties,url,neighborhood
2015,2015-08-14,25.674498,-100.419792,Dan a tr&#225;nsito el tiro de gracia,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=617081&v=3,ESTACION LEONA
2015,2015-08-04,25.433437,-100.115214,Ejecutan a pap&#225; de comandante,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=608485&v=3,
2015,2015-08-21,25.560929,-100.011484,Ejecutan a menor de 14 a&#241;os,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=622106&v=5,
2015,2015-07-28,25.656898,-100.32547,Ejecutan a un joven al tercer intento,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=602870&v=2,INDEPENDENCIA
2015,2015-07-30,25.783142,-100.31592,Lo ejecutan tras patearlo,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=604821&v=2,TOPO GRANDE
2015,2015-06-15,25.6869585,-100.2803447,Ejecutan a 2 en Pablo A. de la Garza,2.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=566762&v=2,FABRILES
2015,2015-06-01,25.7815621,-100.1875974,Acribillan a tortillero en Apodaca,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=554084&v=2,APODACA CENTRO
2015,2015-06-13,25.6685405,-100.4615679,Lo asesinan desde una camioneta,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=565231&v=2,SANCA
2015,2015-06-12,25.5858931,-100.0244665,Torturan y ejecutan a un joven,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=565153&v=2,EMILIANO ZAPATA 2DO SECT
2015,2015-05-07,25.6516471,-100.1059194,Encuentran en llamas a un ejecutado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=532834&v=2,20 DE SEPTIEMBRE
2015,2015-05-04,25.6719416,-100.1402169,Encuentran a un ejecutado en Guadalupe,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=531152&v=2,PUERTA DEL SOL
2015,2015-05-11,25.8092806,-100.5899619,Hallan a hombre ejecutado en Garc&#237;a,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=537010&v=2,CENTRO
2015,2015-05-28,25.6685405,-100.4615679,Ejecutan a hombre en Santa Catarina,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=551897&v=2,SANCA
2015,2015-05-27,25.6685405,-100.4615679,Lo matan a 3 d&#237;as de salir del Penal,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=550581&v=2,SANCA
2015,2015-05-23,25.5858931,-100.0244665,Calientan Cadereyta balacera y ejecuci&#243;n,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=547580&v=2,EMILIANO ZAPATA 2DO SECT
2015,2015-05-01,25.5858931,-100.0244665,Hallan cad&#225;ver de soldador,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=529552&v=2,EMILIANO ZAPATA 2DO SECT
2015,2015-04-28,25.636347,-100.12727,Hallan en 3 bolsas cuerpo descuartizado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=526902,HECTOR CABALLERO ESCAMILLA
2015,2015-04-20,25.716156,-100.262039,Disparan desde taxi; matan a 1,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=519565&v=3,CONSTITUYENTES DE QUERETARO SECT 2
2015,2015-04-27,25.656503,-100.324078,Fallece menor de 12 a&#241;os baleado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=525847&v=2,INDEPENDENCIA
2015,2015-04-26,25.621569,-100.264578,Disparan contra j&#243;venes y ejecutan a uno,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=525005&v=3,EJIDAL LOS REMATES
2015,2015-04-16,25.765005,-100.381143,Cazan sicarios a dos j&#243;venes,2.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=516647&v=2,FOMERREY 116
2015,2015-04-06,25.739612,-100.349349,Acribillan sicarios a 3 en 6 horas,3.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=507680&v=3,VALLE DE SANTA LUCIA
2015,2015-04-15,25.81997,-100.296179,Hallan en Escobedo a mujer momificada,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=515543&v=2,RAUL CABALLERO
2015,2015-04-20,25.926778,-100.36856,Ejecutan a plagiado tras cobrar rescate,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=519562&v=4,
2015,2015-04-27,25.680683,-100.437793,Muere en el HU mesero baleado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=525409,LOS PORTALES II
2015,2015-04-12,25.679533,-100.419078,Dejan a decapitado dentro de un auto,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=512587&v=3,TRABAJADORES
2015,2015-04-11,25.688608,-100.41676,Ejecutan a joven en Santa Catarina,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=512057&v=2,AMPL SAN PEDRO 400
2015,2015-04-30,25.599505,-99.994469,Matan en su casa a pastor cristiano,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=528977,NUEVA CADEREYTA
2015,2015-04-29,25.598917,-99.983257,Tiran en Cadereyta a mec&#225;nico ejecutado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=527873&v=2,LAZARO CARDENAS 1ER SECT
2015,2015-03-10,25.633062,-100.097347,Tiran en lona a un ejecutado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=484808&v=3,EL MIRADOR
2015,2015-03-18,25.675571,-100.332562,Hallan a un ejecutado en cajuela de taxi,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=492292&v=5,NUEVO OBISPADO
2015,2015-03-14,25.6587204,-100.3175155,Levantan y ejecutan a m&#250;sico,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=489021,INDEPENDENCIA
2015,2015-03-07,25.6920483,-100.3322478,Acribillan a joven en la 10 de Marzo,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=483294&v=2,10 DE MARZO
2015,2015-03-19,25.806485,-100.091893,Aparece ejecutado joven en Pesquer&#237;a,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=493585,
2015,2015-03-18,25.663708,-100.257257,Hallan cad&#225;ver enterrado en R&#237;o La Silla,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=491790&v=6,JARDINES DE LA PASTORA
2015,2015-03-10,25.687303,-100.2340781,Lo asesinan desde un auto,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=484932&v=4,RES AZTECA
2015,2015-03-22,25.797334,-100.315398,Ejecutan a hombre en Escobedo,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=495600&v=4,INFONAVIT MONTERREAL
2015,2015-03-14,25.7802165,-100.3161126,Encuentran a hombre muerto en camioneta,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=489042&v=2,JOYA DE ANAHUAC SECT FLORENCIA
2015,2015-03-14,25.6685405,-100.4615679,Hallan cuerpo semienterrado en patio,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=488993&v=2,SANCA
2015,2015-03-07,25.6320746,-100.2860881,Ejecutan a mujer,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=482933&v=2,REVOLUCION PROLETARIA
2015,2015-02-23,25.76364,-100.260895,Lo rafaguean frente a su casa y muere,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=473700&v=2,FOMERREY 4
2015,2015-02-23,25.63005,-100.30644,Va racha al alza; ahora matan a 3,3.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=472863,JARDIN DE LAS TORRES
2015,2015-02-21,25.698051800000002,-100.3251964,Ejecutan otra vez en Bar Matehuala,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=470927&v=5,BELLAVISTA
2015,2015-02-21,25.6768776,-100.2900361,Esconden hallazgo de decapitado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=470989,OBRERA
2015,2015-02-20,25.7580391,-100.426662,Ejecutan a hombre en su domicilio,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=470583,CUMBRES SAN AGUSTIN
2015,2015-02-02,25.72391,-100.345313,Matan a cabecilla de c&#233;lula del crimen,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=455004&v=2,VALLE MORELOS
2015,2015-02-05,25.645606,-100.162853,Desaparece alumna y la hallan ejecutada,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=458074&v=6,FRACC MONTE VERDE
2015,2015-02-06,25.799739,-100.617731,Hallan a enterrado en cerro,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=458927&v=2,
2015,2015-02-22,25.674072,-100.430211,Tiran a ejecutado en Santa Catarina,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=472014&v=2,LA FAMA
2015,2015-02-19,25.585239,-99.9985729,Tras ejecuci&#243;n cae cabecilla,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=469597,CADEREYTA JIMENEZ CENTRO
2015,2015-01-30,25.664161,-100.138452,Le cobran $500 luego lo acribillan,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=452993&v=4,COAHUILA
2015,2015-01-06,25.72135771,-100.3533216,Hallan cuerpo calcinado en Col. Del Maestro,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=432808&v=4,MORELOS
2015,2015-01-04,25.663949,-100.291416,Balea a pap&#225; e hijos y causa muerte de 1,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=431973,ESPAÑA
2015,2015-01-04,25.788145,-100.380235,Ejecutan a conductor pistoleros en taxi,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=431978,FRACC RIVERAS DEL BOSQUE
2015,2015-01-27,25.76254,-100.166208,Acribillan a joven afuera de su casa,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=450230&v=6,PUEBLO NUEVO
2015,2015-01-30,25.804559,-100.278128,Ejecutan a 3 en minis&#250;per,3.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=453268&v=2,MOL DEL YONKE
2015,2015-01-25,25.702108,-100.458968,Los matan enfrente de su casa,2.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=448365&v=2,SAN GILBERTO (FOMERREY 137)
2015,2015-01-20,25.694891,-100.497941,Carga a su hija y lo ejecutan,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=444500&v=3,PUERTA DE LAS MITRAS
2015,2015-01-11,25.659153,-100.434544,Matan sicarios a 2 en Santa Catarina,2.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=437198&v=4,LA FORTALEZA
2015,2015-01-27,25.603208,-100.077843,Lo ejecutan c&#243;mplices por fallar como halc&#243;n,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=450071&v=3,
2015,2015-10-24,25.61768,-100.25935,Alcanzan taxi y ejecutan a 2,2.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=677141&v=2&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=677141&v=2&flow_type=paywall,EJIDAL LOS REMATES
2015,2015-10-29,25.6836728,-100.3264108,A él lo ejecutan; a ella la levantan,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=681393&v=6&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=681393&v=6&flow_type=paywall,CENTRO DE MONTERREY
2015,2015-10-18,25.6883755,-100.3257195,Ejecutan a dos desde vehículos en marcha,2.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=671501&v=3&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=671501&v=3&flow_type=paywall,INDUSTRIAL
2015,2015-10-16,25.7659068,-100.364755,Asesinan a taxista,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=670273&v=2&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=670273&v=2&flow_type=paywall,DIF FOMERREY 15
2015,2015-10-19,25.7591211,-100.1920355,Asesinan y queman a hombre maniatado,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=672260&v=3&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=672260&v=3&flow_type=paywall,PARQUE INDUSTRIAL ALMACENTRO
2015,2015-10-16,25.877287,-100.120931,Hallan en brecha a 2 ejecutados,2.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=670269&v=4&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=670269&v=4&flow_type=paywall,
2015,2015-12-30,25.563196,-100.024872,Lo torturan y ejecutan en Cadereyta,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=730732&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=730732,NUEVA MADERO
2015,2015-12-01,25.5867158,-100.0098857,Matan en casa a un ex policía,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=710372&v=4&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=710372&v=4,GALINDO
2015,2015-12-15,25.6648892,-100.0945886,Cumplen amenaza; ejecutan a una joven,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=721261&v=4&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=721261&v=4,LOMAS DEL SOL
2015,2015-12-31,25.7121515,-100.2716112,Hincan y matan a dos jóvenes,2.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=731235&v=3&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=731235&v=3,CONSTITUYENTES DE QUERETARO SECT 6
2016,2016-01-06,25.6828717,-100.4265403,Ejecutan a un joven al cenar en taquería,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=735202,LA FAMA 4
2016,2016-01-09,25.6901218,-100.4208135,Arde enero: ahora desatan una masacre,5.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=737558&v=5,LOMAS DE LA FAMA
2016,2016-01-07,25.672447,-100.4027945,Lo mata a balazos un encapuchado,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=736195,LUCIO BLANCO 2DO SECT
2016,2016-01-19,25.7242041,-100.3294442,Lanzan de camioneta a hombre asesinado,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=745317,CONSTITUYENTES DEL 57
2016,2016-01-21,25.7548088,-100.374865,Lo alcanzan en auto para matarlo a tiros,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=747573,SAN BERNABE FOMERREY 25
2016,2016-01-08,25.740914,-100.345029,Ejecutan a 4 en 4 horas,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=736989&v=3,CARMEN SERDAN
2016,2016-01-16,25.6579421,-100.320979,Muere mujer baleada,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=743024,INDEPENDENCIA
2016,2016-01-04,25.6630694,-100.3199932,Acribillan a travesti en la Independencia,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=733439&v=2,INDEPENDENCIA
2016,2016-01-13,25.6858899,-100.3198165,Ejecutan a portero de Bar La Eternidad,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=740678,CENTRO DE MONTERREY
2016,2016-01-23,25.6856239,-100.3140854,Ejecutan y hieren afuera de un bar,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=749107,CENTRO DE MONTERREY
2016,2016-01-13,25.581625,-100.017642,Lo asesinan tras levantón,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=739969,EMILIANO ZAPATA 2DO SECT
2016,2016-01-27,25.652807,-100.077886,Despiertan y matan a 2 mujeres en casa,2.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=751645,REAL DE SAN JOSE
2016,2016-01-04,25.751833,-100.112907,"Sale de casa, lo balean y fallece",1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=733435,
2016,2016-01-27,25.799538,-100.137636,Tiran a asesinado en Apodaca,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=751901,
2016,2016-01-04,25.801274,-100.049339,Lo matan y le dejan mensaje,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=733435,
2016,2016-01-26,25.9304372,-100.1837271,Lo matan al salir de su depósito,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=750720&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=750720,
2016,2016-01-21,25.958787,-100.168639,Ejecutan a joven y amigo sobrevive,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=746810&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=746810,
2016,2016-02-28,25.442302,-100.151952,Balean a hombre en Santiago y fallece,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=779796&v=4&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=779796&v=4,FRACC LA BOCA
2016,2016-02-29,25.6693835,-100.1420597,Tiran a ejecutado y le prenden fuego,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=780893&v=4&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=780893&v=4,FRACC EVOLUCION
2016,2016-02-29,25.7181257,-100.2529377,Fallece baleado frente a su pareja,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=780900&v=2&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=780900&v=2,CONSTITUYENTES DE QUERETARO SECT 1
2016,2016-02-04,25.7059115,-100.2726222,Entran a empresa y ejecutan a dueño,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=759178&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=759178,FRACC COYOACAN
2016,2016-02-17,25.686617,-100.316063,Asesinan a ex trabajador de Pemex,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=769703&v=4&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=769703&v=4,SARABIA
2016,2016-02-06,25.6675417,-100.4714691,Persiguen y ejecutan,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=760729&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=760729,ALFONSO MARTINEZ DOMINGUEZ
2016,2016-02-21,25.7763931,-100.4379101,Tiran a ejecutado cerca de un cuartel,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=774021&v=3&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=774021&v=3,
2016,2016-02-17,25.8042312,-100.3525771,Acribillan a hombre en depósito,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=770514&v=2&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=770514&v=2,PARQUE INDUSTRIAL ESCOBEDO II
2016,2016-02-13,25.8148675,-100.3516711,Matan a mujer en una brecha,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=766574&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=766574,PASO DE CUCHARAS (PROGRESO)
2016,2016-02-05,25.9599773,-100.292949,Lo balean afuera de su casa,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=759401&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=759401,SALINAS VICTORIA (CENTRO)
2016,2016-02-17,25.95808,-100.317536,Matan a balazos a supuesto halcón,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=769617&v=4&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=769617&v=4,
2016,2016-03-20,25.785253,-100.602633,Hallan un ejecutado en cajuela de taxi,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=798988&v=2&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=798988&v=2,FRAY JUAN ANTONIO DE SOBREVILLA
2016,2016-03-21,25.6677134,-100.4709003,Hallan indigente muerto con balazo,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=799582&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=799582,ALFONSO MARTINEZ DOMINGUEZ
2016,2016-03-21,25.7307782,-100.3362914,Muere en hospital tras ser baleado,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=799133&v=2&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=799133&v=2,PABLO GONZALEZ
2016,2016-03-07,25.7846954,-100.2488586,Ejecutan sicarios a 2 tras persecución,2.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=787125&v=4&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=787125&v=4,HACIENDA SANTA ISABEL
2016,2016-03-20,25.587587,-100.2585265,Matan en Valle Alto a gerente de casino,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=798578&v=14&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=798578&v=14,LOMAS DE VALLE ALTO
2016,2016-03-14,25.686632,-100.087952,Ejecutan a 2 y les dejan un mensaje,2.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=793677&v=3&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=793677&v=3,
2016,2016-04-04,25.911609,-100.678288,Ejecutan y calcinan,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=810174&v=2&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=810174&v=2,
2016,2016-04-29,25.810338,-100.428969,Matan a 2 a balazos y luego los calcinan,2.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=831926&v=2&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=831926&v=2,
2016,2016-04-04,25.6833751,-100.3739449,Ejecutan a dos en San Jerónimo,2.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=810186&v=2&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=810186&v=2,SAN JERONIMO 4TO SECT
